total_score	I_sc	description
-768.069	-4.106	complex_global_dock_04443
-767.921	-4.103	complex_global_dock_03851
-768.194	-4.101	complex_global_dock_07131
-767.688	-4.098	complex_global_dock_02099
-768.362	-4.098	complex_global_dock_06593
-767.920	-4.095	complex_global_dock_06006
-767.990	-4.092	complex_global_dock_03460
-768.638	-4.092	complex_global_dock_01328
-767.350	-4.091	complex_global_dock_05124
-768.300	-4.091	complex_global_dock_07112
-767.331	-4.090	complex_global_dock_01537
-767.793	-4.090	complex_global_dock_03624
-767.498	-4.088	complex_global_dock_02071
-768.260	-4.087	complex_global_dock_08597
-768.581	-4.087	complex_global_dock_05325
-768.143	-4.086	complex_global_dock_04647
-768.305	-4.086	complex_global_dock_09826
-768.191	-4.084	complex_global_dock_03889
-769.212	-4.083	complex_global_dock_04533
-767.223	-4.082	complex_global_dock_01506
-767.763	-4.081	complex_global_dock_04470
-767.913	-4.081	complex_global_dock_05065
-768.496	-4.081	complex_global_dock_01586
-768.117	-4.079	complex_global_dock_06560
-768.217	-4.077	complex_global_dock_08524
-768.406	-4.077	complex_global_dock_09366
-767.265	-4.074	complex_global_dock_07656
-767.846	-4.073	complex_global_dock_04133
-765.201	-4.072	complex_global_dock_02416
-767.969	-4.072	complex_global_dock_06515
-763.517	-4.069	complex_global_dock_04773
-767.473	-4.066	complex_global_dock_02495
-768.140	-4.065	complex_global_dock_07563
-768.508	-4.065	complex_global_dock_04772
-767.901	-4.064	complex_global_dock_03970
-768.038	-4.063	complex_global_dock_05246
-768.060	-4.063	complex_global_dock_03698
-768.320	-4.063	complex_global_dock_03156
-768.541	-4.062	complex_global_dock_02840
-767.536	-4.061	complex_global_dock_07725
-768.006	-4.061	complex_global_dock_05066
-768.880	-4.060	complex_global_dock_01436
-767.823	-4.058	complex_global_dock_00960
-768.241	-4.058	complex_global_dock_05418
-767.068	-4.057	complex_global_dock_08293
-768.185	-4.055	complex_global_dock_03429
-768.488	-4.055	complex_global_dock_06987
-769.204	-4.053	complex_global_dock_04541
-767.663	-4.052	complex_global_dock_03288
-768.308	-4.050	complex_global_dock_00539
-768.262	-4.049	complex_global_dock_08839
-768.294	-4.048	complex_global_dock_07433
-767.165	-4.047	complex_global_dock_04584
-767.965	-4.047	complex_global_dock_08685
-768.016	-4.047	complex_global_dock_03915
-768.122	-4.046	complex_global_dock_08368
-768.914	-4.045	complex_global_dock_09264
-767.980	-4.044	complex_global_dock_09786
-767.926	-4.043	complex_global_dock_02523
-767.036	-4.042	complex_global_dock_05540
-768.018	-4.042	complex_global_dock_05168
-768.390	-4.041	complex_global_dock_02493
-768.410	-4.041	complex_global_dock_01614
-766.033	-4.039	complex_global_dock_05842
-767.966	-4.037	complex_global_dock_09038
-768.416	-4.036	complex_global_dock_04197
-766.630	-4.034	complex_global_dock_06132
-767.643	-4.034	complex_global_dock_08276
-767.902	-4.033	complex_global_dock_00524
-769.101	-4.033	complex_global_dock_09877
-768.828	-4.030	complex_global_dock_09174
-767.764	-4.028	complex_global_dock_00037
-768.167	-4.028	complex_global_dock_02806
-768.036	-4.027	complex_global_dock_02055
-767.988	-4.026	complex_global_dock_04096
-768.155	-4.026	complex_global_dock_04176
-768.295	-4.025	complex_global_dock_00506
-768.187	-4.021	complex_global_dock_05402
-767.380	-4.020	complex_global_dock_05304
-768.006	-4.019	complex_global_dock_02368
-768.041	-4.019	complex_global_dock_00244
-767.661	-4.017	complex_global_dock_01212
-767.838	-4.017	complex_global_dock_05606
-768.053	-4.017	complex_global_dock_02478
-767.414	-4.016	complex_global_dock_01883
-768.130	-4.016	complex_global_dock_09299
-767.648	-4.011	complex_global_dock_00033
-767.832	-4.011	complex_global_dock_01301
-768.217	-4.011	complex_global_dock_04166
-768.388	-4.011	complex_global_dock_07236
-768.841	-4.011	complex_global_dock_04491
-766.728	-4.010	complex_global_dock_05730
-768.226	-4.010	complex_global_dock_03908
-766.180	-4.009	complex_global_dock_02456
-768.514	-4.008	complex_global_dock_04437
-768.179	-4.007	complex_global_dock_01563
-767.483	-4.006	complex_global_dock_03765
-767.652	-4.006	complex_global_dock_07022
-768.625	-4.004	complex_global_dock_03301
-767.857	-4.003	complex_global_dock_09601
-768.299	-4.003	complex_global_dock_09138
-768.223	-4.002	complex_global_dock_04955
-767.397	-4.000	complex_global_dock_09485
-768.409	-4.000	complex_global_dock_04694
-768.678	-4.000	complex_global_dock_05910
-767.463	-3.999	complex_global_dock_02080
-767.886	-3.999	complex_global_dock_09104
-767.906	-3.999	complex_global_dock_06216
-767.927	-3.998	complex_global_dock_07004
-767.764	-3.996	complex_global_dock_08849
-768.651	-3.996	complex_global_dock_09336
-767.545	-3.995	complex_global_dock_04319
-767.685	-3.995	complex_global_dock_04405
-768.516	-3.995	complex_global_dock_00704
-767.914	-3.994	complex_global_dock_09150
-768.225	-3.994	complex_global_dock_04110
-768.838	-3.993	complex_global_dock_00816
-767.754	-3.992	complex_global_dock_07238
-768.184	-3.992	complex_global_dock_09157
-767.563	-3.991	complex_global_dock_03736
-768.072	-3.991	complex_global_dock_03373
-768.104	-3.991	complex_global_dock_05315
-767.967	-3.990	complex_global_dock_07372
-767.046	-3.989	complex_global_dock_09842
-767.382	-3.989	complex_global_dock_09801
-767.837	-3.988	complex_global_dock_02213
-768.399	-3.988	complex_global_dock_01703
-768.591	-3.988	complex_global_dock_06411
-768.692	-3.987	complex_global_dock_02175
-768.717	-3.987	complex_global_dock_03484
-768.057	-3.986	complex_global_dock_01649
-767.356	-3.985	complex_global_dock_02772
-768.689	-3.985	complex_global_dock_08956
-768.105	-3.984	complex_global_dock_04256
-768.549	-3.984	complex_global_dock_04889
-767.967	-3.983	complex_global_dock_03781
-767.968	-3.982	complex_global_dock_02566
-768.685	-3.982	complex_global_dock_00330
-768.740	-3.981	complex_global_dock_09047
-763.532	-3.980	complex_global_dock_03445
